VVVHS,S2REP,DpRVIVV,AWEIsh,BAI,VVVHD,agb
-41.760842202772665,717.0048324762683,2.4081099777049597,-0.9583047323259616,9.132063997943924,8.52150819015694,0.0
-28.40043795856587,719.0050776470072,2.4607977994049475,-0.6385179987113879,24.811946003618974,6.543429656721946,14.64
-40.70520802456211,711.7769224027127,2.1956139859303856,-0.935326407446524,10.221182401337932,3.981253994905064,0.0
-33.109216638943494,711.2080123826078,2.174872061113348,-0.6925758957257359,23.075801609315324,2.8949384777502054,4.67
-28.11208599808374,710.9898436894606,2.578836924626711,-0.5553464171465967,44.883923982177535,8.136156701986206,22.85
-49.187876749754594,696.0196518317753,2.126100730223653,-0.8751725850484962,5.532240187312316,3.1013135881475513,0.0
-41.19437310400812,705.5995148182916,2.5595958668513994,-0.6645573747059763,7.764960799713395,11.526100463268696,0.0
-38.93725629021611,701.1002452950635,2.3261121435175207,-0.985880526662032,8.24595448143656,6.348956055746719,0.18
-41.20836839049335,716.3469564764082,2.402346400410735,-0.9336395528930668,7.03266607890774,8.290019344357251,0.19
-42.77225516284123,708.6366233321733,2.2356957526174055,-1.072041139919569,7.067841035699273,5.040619435874792,0.0
-42.32556887663293,717.5660216126603,2.279443025643544,-0.8397025169737367,12.682027457357512,5.913792514485259,0.33
-31.10104737776227,714.0140864326617,2.531551891723459,-0.6159004196538407,32.48098991648983,8.265910284115227,17.74
-43.65928203233591,716.8824641951874,2.3121479044763156,-0.8338169279277671,17.016256957041122,6.8140766986670585,0.02
-49.91192728679921,703.0329574074564,2.1606392246999544,-0.9109031873635612,8.160315317614327,4.008906651315957,0.0
-40.74434233037376,708.3492050490548,2.1424287785156784,-0.962564606307936,5.047134418240629,2.9015834547698915,0.33
-29.247964740623637,720.0365249993523,2.4465619385306505,-0.4199790761478422,47.062706329894354,6.530513916324502,25.87
-39.82787820747261,714.6907929454887,2.353897771171763,-0.8249522440610471,10.153730948129787,7.047498664062488,4.36
-24.366698016493245,717.2002753982541,2.49133325819941,-0.6026658700734321,23.027570909457772,5.9860845640023665,23.61
-27.791538065736944,717.0652203821475,2.398321659087576,-0.5726243696496045,36.583504446823994,5.5349857754699325,31.41
-34.92341710464361,706.2435987299108,2.2422236016750148,-0.7414735470128746,13.081309006067718,4.229637936942792,3.59
-41.35905390416221,715.0376824703787,2.390219871209121,-0.9321895905282462,11.719630248931775,8.069562343906632,0.0
-45.43671185775785,716.0789616229956,2.2333923055381795,-0.9506920643019904,9.829204890089748,5.302289468278019,0.33
-29.946509054671353,711.7544213843264,2.363599145141639,-0.6083411286334163,53.473184949939125,5.444262546127428,14.59
