ID,Region,Departement,Date,N_Placette,X,Y,N_trees,AGB_tha_(Model_Chave_al),AGB_tha_(Model_Mbow_al)
Louga_Louga_50,Louga,Louga,2026-01-16,50,398816,1754627,3,3.7420369365574944,13.54346395812384
Louga_Louga_46,Louga,Louga,2026-01-16,46,397227,1754173,11,4.706183533994805,15.785285671372474
Louga_Kebemer_85,Louga,Kebemer,2026-01-17,85,332295,1717870,17,0.6135305317749037,2.6489102161258753
Louga_Louga_98,Louga,Louga,2026-01-16,98,399444,1753977,0,0.0,0.0
Louga_Kebemer_2,Louga,Kebemer,2026-01-17,2,341673,1728768,4,0.1578056551473363,0.7289296393608807
Louga_Kebemer_103,Louga,Kebemer,2026-01-17,103,332258,1717305,14,3.986612008200935,18.334375896627904
Louga_Louga_194,Louga,Louga,2026-01-16,194,388690,1764841,1,3.8036603620493032,11.04965520763299
Louga_Kebemer_40,Louga,Kebemer,2026-01-17,40,341691,1729624,2,0.1921291646768894,0.9041990204408303
Louga_Kebemer_90,Louga,Kebemer,2026-01-17,90,332624,1717101,5,10.23928849388528,49.72592279635433
Louga_Kebemer_17,Louga,Kebemer,2026-01-17,17,342021,1728432,12,2.4672411689310563,9.048729421529853
Louga_Linguère_122,Louga,Linguère,2026-01-19,122,422548,1675147,9,8.701923807146898,25.61762937599119
Louga_Louga_143,Louga,Louga,2026-01-16,143,389940,1764801,7,8.800097782561833,38.60683624479751
Louga_Kebemer_0,Louga,Kebemer,2026-01-17,0,342234,1729890,0,0.0,0.0
Louga_Kebemer_37,Louga,Kebemer,2026-01-17,37,341492,1729269,1,1.0441221701201742,3.640967738745403
Louga_Louga_180,Louga,Louga,2026-01-16,180,389752,1765571,1,2.4491899830561987,8.171139118137198
Louga_Linguère_76,Louga,Linguère,2026-01-19,76,421817,1676078,2,1.184997791808316,4.257494199547633
Fatick_Fatick_18,Fatick,Fatick,2026-01-20,18,365797,1606798,0,0.0,0.0
Fatick_Fatick_2,Fatick,Fatick,2026-01-20,2,364890,1606968,1,26.93651920342899,127.51188164616399
Fatick_Fatick_4,Fatick,Fatick,2026-01-20,4,365604,1606397,0,0.0,0.0
Fatick_Fatick_53,Fatick,Fatick,2026-01-20,53,365404,1606935,44,3.165974789444968,14.71827611774061
Fatick_Fatick_86,Fatick,Fatick,2026-01-20,86,355034,1606181,0,0.0,0.0
Fatick_Fatick_28,Fatick,Fatick,2026-01-20,28,365493,1606137,0,0.0,0.0
Fatick_Fatick_72,Fatick,Fatick,2026-01-20,72,357041,1607036,2,22.497681318131924,85.27805345606136
Fatick_Fatick_110,Fatick,Fatick,2026-01-20,110,356311,1607135,0,0.0,0.0
Fatick_Fatick_126,Fatick,Fatick,2026-01-20,126,355655,1605921,0,0.0,0.0
Fatick_Fatick_52,Fatick,Fatick,2026-01-20,52,365223,1606760,0,0.0,0.0
Fatick_Fatick_5,Fatick,Fatick,2026-01-20,5,364647,1607084,1,13.191400854621316,52.04379073084906
Fatick_Fatick_30,Fatick,Fatick,2026-01-20,30,364960,1606637,2,15.10464095332866,51.49751625664599
Fatick_Fatick_105,Fatick,Fatick,2026-01-20,105,355311,1606892,0,0.0,0.0
Fatick_Fatick_104,Fatick,Fatick,2026-01-20,104,356744,1606335,1,9.904741916800294,37.78141892118716
Fatick_Fatick_93,Fatick,Fatick,2026-01-20,93,354757,1606784,0,0.0,0.0
Fatick_Fatick_103,Fatick,Fatick,2026-01-20,103,357081,1606790,14,8.820701984279328,40.10605094076329
Fatick_Fatick_123,Fatick,Fatick,2026-01-20,123,356839,1606120,0,0.0,0.0
Fatick_Fatick_16,Fatick,Fatick,2026-01-20,16,365264,1606131,1,1.9266689763157605,6.945098961212725
Fatick_Fatick_0,Fatick,Fatick,2026-01-20,0,364643,1606797,0,0.0,0.0
Fatick_Fatick_122,Fatick,Fatick,2026-01-20,122,355207,1605810,0,0.0,0.0
