inventory_date,latitude_proj,longitude_proj,agb,cagb,cagb_category,HCS,longitude,latitude,start_date,end_date,B2,B3,B4,B8,B5,B6,B7,B8A,B11,B12,B9,B1,VV,VH,elevation,ARI,ARVI,AVI,BCC,CCCI,CVI,EVI,ExG,GNDVI,IKAW,MCARI,MSAVI,MTVI2,NDDI,NDMI,NDVI,NDYI,PSRI,PVI,RCC,RENDVI,S2REP,SAVI,SI,SIPI,TCARI,TNDVI,TTVI,TVI,VARI,VARI700,AWEInsh,AWEIsh,MNDWI,MuWIR,NDWI,S2WI,WI2015,BAI,BAIM,MIRBI,NBR,NBRplus,NBRSWIR,NDSWIR,NBSIMS,NDSI,NBAI,NDBI,UI,BI,BI2,BSI,SATVI,DPDD,DpRVIVV,NDPolI,VDDPI,VHVVD,VHVVP,VHVVR,VVVHD,VVVHR,VVVHS
2026-01-15,1606790,357081,39.58,18.6,10-20,non-HCS,-16.32643109417671,14.530288600145902,2026-01-01,2026-02-01,0.10309629541564935,0.15963899892896438,0.23832306808829765,0.36285408523084556,0.2684665364195501,0.30557747020167736,0.334651411285466,0.3646334661974809,0.5192874611061525,0.4672902290196343,0.3693333711671502,0.08142429153094136,-16.20505722558779,-21.653300783616867,27.0,2.5392744721965244,0.1840187371166535,0.32528206501615087,0.20575705974661448,0.721754773164869,0.00220381984581514,0.15415533998777006,-0.022141365646018235,0.38893354278298115,0.5574795098456375,0.009437618209485134,0.15896834300099794,0.04271015518199688,-3.2789733850115046,-0.1773336450651037,0.20714529229030582,0.2152078716883444,0.44252860848478226,-0.16494664417334426,0.4756393385614987,0.06464823838255704,721.995654651524,0.1696334918961804,0.8311144569664402,2.259917249192285,0.016875077870304032,0.8409193137812366,0.5474174038270141,0.8409193137812366,-0.26684707666117913,-0.1452191910504219,-0.2442592402124697,-0.9378410840223455,-0.5297311024799146,-0.3687589137550268,-0.38893354278298115,-0.2702301928292883,-52.211689955212286,9.020885036148938,5.9059159765125155,1.583885171356048,-0.12580480525615836,-0.14623598129546383,-0.06626054698231798,-0.1773336450651037,-3.818370978039513,-0.5297311024799146,-0.7487805936833402,0.1773336450651037,0.12580480525615836,0.23836994644252665,0.2670490478861982,0.20456670090763357,0.10147182332047902,-26.769901672896655,2.2878224965121006,-0.14391124825605017,2.3362063757125338,-5.448243558029077,350.8929783213763,1.3362063757125338,5.448243558029077,0.748387388487612,-37.85835800920466
2026-01-15,1606335,356744,37.8,17.77,10-20,non-HCS,-16.32953361020225,14.526158070257841,2026-01-01,2026-02-01,0.07242277725388285,0.1103122859528073,0.1631838619902315,0.32654097757008366,0.21024151152665724,0.2703625634739027,0.2994608466109444,0.33869779499966157,0.41931198112658086,0.33133083037273064,0.36952648292239143,0.07119515462601199,-11.387847169844479,-20.704770687285027,27.0,4.308738796128016,0.31763481293788864,0.354733276797195,0.2093634432191146,0.6495213890349558,0.0006484293504098745,0.23171572828390696,-0.014982067338499744,0.49496869926884746,0.6369455802528341,0.03487855362623824,0.22950181935447278,0.1260898058094083,-5.133459587470388,-0.12438243017579395,0.33356918494581056,0.2073466801282025,0.3357013765891058,-0.17583384899157073,0.47174019720758453,0.12509476110283796,717.2723983228869,0.24757959341369593,0.8839056405990343,1.5631141749638302,0.06392534149629388,0.9130001012846661,0.3494352182612914,0.9130001012846661,-0.262946683870733,-0.050193655413379966,-0.40647424156260603,-0.8534086535022781,-0.5834319051839367,-0.578010833646937,-0.49496869926884746,-0.22358844696793825,-44.178044053165124,13.326884340275402,10.669773786531344,1.2040508886868135,-0.007280830010978898,-0.22292462774813807,-0.12694064922917134,-0.12438243017579395,-3.8633950788085882,-0.5834319051839367,-0.8396450068727181,0.12438243017579395,0.007280830010978898,0.18699912729766807,0.22017173848203644,0.10694263285234568,0.18924789108400877,-22.692907712804757,2.580627205852623,-0.2903136029263115,2.818146167443498,-9.316923517440548,235.7827642734777,1.8181461674434982,9.316923517440548,0.5500107845598045,-32.092617857129504
2026-01-15,1606131,365264,6.95,3.27,0-10,non-HCS,-16.250464475887572,14.524749025912477,2026-01-01,2026-02-01,0.06678997058883952,0.10213743512909436,0.15027167447168627,0.303427923095743,0.18908986026622368,0.24348420396304848,0.271165428312275,0.3228859337461424,0.4044772207101945,0.2882499588457737,0.32980399461111365,0.04957086820919054,-11.830710806599797,-20.149754794846334,27.0,4.502238636129315,0.32184950436373466,0.34053110431837713,0.20924236545156383,0.687705642180228,0.00047566649925998196,0.22468350695384975,-0.012786774802337073,0.4963207135039804,0.6391856162104196,0.02696290540532306,0.22103292795771334,0.1225920670299944,-5.25290728405122,-0.14274412115608634,0.33757192963190696,0.20924647714815545,0.3428629148177352,-0.19104392878715126,0.4707772791275508,0.12574573511183695,718.9169652201481,0.24088756409467002,0.8929417297673171,1.6575037399203987,0.05080616964802347,0.9151895593984379,0.022939331490139825,0.9151895593984379,-0.2593172212672281,-0.06592052160744762,-0.49252873627245863,-0.8117866470087742,-0.5967845227063665,-0.5123470893999521,-0.4963207135039804,-0.2077348140869938,-40.2704601962205,16.185316697691526,13.886233640263864,0.9186228254978306,0.025652411072329975,-0.2609575159597431,-0.17184633676963873,-0.14274412115608634,-3.6804758026083997,-0.5967845227063665,-0.8643011401501535,0.14274412115608634,-0.025652411072329975,0.19950013743027356,0.2041911982411506,0.08445703140796894,0.21739075299417307,-22.613604092285676,2.5202578406407166,-0.2601289203203582,2.7031736405563844,-8.319043988246538,238.3859218017246,1.7031736405563844,8.319043988246538,0.5871391948464662,-31.98046560144613
2026-01-15,1606968,364890,127.58,59.96,>=50,HCS,-16.253977571153428,14.532296486004995,2026-01-01,2026-02-01,0.11116298260471642,0.16867242042102495,0.24716695117635237,0.3678455398313009,0.2844990445899474,0.3180792202548512,0.33633374809956146,0.3745466784611372,0.5157935355806719,0.4487328382808848,0.3767489514563656,0.08023958692065156,-16.676152393689478,-22.12197167028906,27.0,2.4137012173458414,0.17318321889351274,0.3221054929384271,0.21093450858112842,0.6511244370381919,0.002586688004867268,0.14956757264980086,-0.020985092939018887,0.3712329020944691,0.5358621928503796,0.016306517140340867,0.15244446092857444,0.03840061305453996,-3.242381982026884,-0.16743034556319752,0.19622136203644489,0.20551165861961496,0.42757891717247964,-0.16309806387354034,0.46900540235835325,0.05572749238400222,712.5579019958966,0.16234605840050662,0.8224275802029312,2.3832392814353303,0.03200363456391418,0.8343988027534824,-0.07314236114075756,0.8343988027534824,-0.25763247035600845,-0.12545015657398173,-0.2464305403239797,-0.9047977890309015,-0.5071415343830284,-0.3204951036356559,-0.3712329020944691,-0.2239861598051502,-49.515043661739796,8.589073873069363,6.138968617275329,1.4325517341182632,-0.09905638040108766,-0.18642594667225496,-0.08178350432406428,-0.16743034556319752,-3.5530941713212485,-0.5071415343830284,-0.7440706425270888,0.16743034556319752,0.09905638040108766,0.22863047485017535,0.27377133301247447,0.1846027173573399,0.09467751044529707,-27.434416622956192,2.280725906624731,-0.14036295331236548,2.3265632951795503,-5.4458192765995825,368.9093708226217,1.3265632951795503,5.4458192765995825,0.7538275811141375,-38.798124063978534
2026-01-15,1606637,364960,51.52,24.21,20-30,non-HCS,-16.25331114045286,14.529307912833984,2026-01-01,2026-02-01,0.09477328416951207,0.1403060196736537,0.22154366898427322,0.34565269942677346,0.25453229608338906,0.2843145698035529,0.31158000612477643,0.35422924844496845,0.5065370373550906,0.40825548251834487,0.3546617726557846,0.06466029033474965,-16.201834864002063,-24.510585440120174,27.0,3.198503425582221,0.19617451216353465,0.32202718099743505,0.2075525976774006,0.6938419567753222,0.0015074812024406647,0.1579706703237886,-0.0357049138064779,0.4225599247056277,0.5696290060107554,0.011653755354366647,0.16234425724067814,0.039994028288737916,-3.147857479149418,-0.18878933996068398,0.21881139822912007,0.193690957731094,0.44588071903016835,-0.174565949766055,0.48517854371728275,0.05527038497503779,719.137065404939,0.1744416971179635,0.8461457313356289,2.264077062645395,0.020224900232283453,0.8478274578174029,0.20092417928603634,0.8478274578174029,-0.3041738167257057,-0.13295051044650577,-0.4286346686569926,-0.9348101424487361,-0.5661821885570033,-0.4810905904899634,-0.4225599247056277,-0.23193425014453584,-49.5986345285081,10.376637903942186,7.646378562090013,1.1184918591035604,-0.08303767566237749,-0.18149518572500709,-0.11655737751348201,-0.18878933996068398,-3.837062013698405,-0.5661821885570033,-0.7968112821289207,0.18878933996068398,0.08303767566237749,0.24617293612492683,0.2504949534053812,0.1769470382405398,0.14396831655650572,-28.788028475561713,2.4081678521714824,-0.20408392608574122,2.51282775351444,-8.308750576118111,397.1164577208404,1.51282775351444,8.308750576118111,0.6610137853942107,-40.71242030412223
2026-01-15,1607084,364647,52.07,24.47,20-30,non-HCS,-16.256238430500698,14.533332981392805,2026-01-01,2026-02-01,0.08834488213067977,0.13270874550556114,0.19197043654707388,0.3199326946158915,0.23521073527969957,0.2791050124295892,0.30709962151813724,0.3350440029473228,0.4727047818411935,0.42216280695816505,0.359499990940094,0.07360000163316727,-14.44331078050088,-21.17631822148301,27.0,3.283791789604848,0.23034236318478482,0.3210129775264716,0.21389766309468392,0.6105154761521601,0.0010816632234831294,0.17682466291847257,-0.014897827666631377,0.41362529480308846,0.5672312800782701,0.02786193998585668,0.17466909920511553,0.07317158416202825,-4.0549460371971415,-0.19273891503106766,0.24997357952882027,0.20069276333200547,0.371278012939793,-0.18788549100363963,0.4647923769930039,0.0853449993421169,716.4217687112082,0.1896855352968705,0.8612731942522638,1.9250417795085126,0.05436689227083384,0.8660101497839504,0.5469747719029814,0.8660101497839504,-0.2507536614917206,-0.07919895124928343,-0.27901959986154834,-0.8743801705305863,-0.5615930615651694,-0.5062056363004828,-0.41362529480308846,-0.2843924491424369,-48.65105630890366,13.153815854690702,8.181968791310945,1.5891212075379535,-0.1377587010370411,-0.1369112135025756,-0.07090589308287852,-0.19273891503106766,-4.087472287966877,-0.5615930615651694,-0.788078029297031,0.19273891503106766,0.1377587010370411,0.2389645125156456,0.22863448903283687,0.20134339609978627,0.15047992391304635,-25.186881210651826,2.3780503969093627,-0.1890251984546814,2.4661678712938864,-6.733007440982131,305.8561452596628,1.4661678712938861,6.733007440982131,0.6820501387180888,-35.619629001983895
2026-01-15,1606935,365404,14.43,6.78,0-10,non-HCS,-16.249206188686344,14.532023656558028,2026-01-01,2026-02-01,0.09421168222837285,0.14439775902589042,0.22387303629839442,0.36546491303266965,0.26928835059464806,0.3070387987202357,0.33381807724182266,0.38384328090601505,0.49471892029988596,0.38027957371934906,0.3925034572410723,0.0686513980676767,-16.5117303384893,-22.340218225985964,27.0,3.2118237353105448,0.2185940852937251,0.3424566463582121,0.20370865232974372,0.6306528711833088,0.0017059581942451107,0.17680283147548564,-0.02928920047498644,0.4335817586218366,0.5900958056179839,0.024583124827824706,0.18293596696364323,0.06114124567112294,-3.485500276763642,-0.15026323706463504,0.2402558275688694,0.2103272885335625,0.42229631763302,-0.15945547761143553,0.4840681477989715,0.06550176955998684,713.8608806716227,0.1949696283250162,0.8441321994101414,2.0962609000657673,0.046110260724213065,0.8603812106089193,0.022408540604928806,0.8603812106089193,-0.2899931929820198,-0.10356932558423647,-0.4468820456259395,-0.9301395636355717,-0.5481333418548238,-0.3768710320212839,-0.4335817586218366,-0.17086931015246457,-47.760709157533086,9.203582509348868,7.574676689183444,0.9545503182546078,-0.019865598673350585,-0.24151326274824683,-0.1378867222926035,-0.15026323706463504,-3.5165755873970403,-0.5481333418548238,-0.8001874918229394,0.15026323706463504,0.019865598673350585,0.2197422318780096,0.26110946098723814,0.13580752816316952,0.14325222660506515,-27.472476292251407,2.3000358078732765,-0.15001790393663833,2.3529907385848166,-5.828487887496664,368.87565905048405,1.3529907385848168,5.828487887496664,0.7391033593075196,-38.851948564475265
2026-01-15,1607036,357041,85.32,40.1,40-50,HCS,-16.326815528991652,14.53251013182398,2026-01-01,2026-02-01,0.0882720790986823,0.13581638549735756,0.20289254262714945,0.34138056654469395,0.2511055843246325,0.2909382035261913,0.31965169046706443,0.3496656539596064,0.49760917857190784,0.43935194335642513,0.3605460593754714,0.07633850037569863,-15.647462845028997,-23.437283001814833,27.0,3.38049331748116,0.2341234501604595,0.33526583181985814,0.20673537605980954,0.5988166503369593,0.0012776421065999206,0.18253858315660096,-0.019531850731116643,0.43077429595405653,0.5891002650920456,0.031132793734828905,0.1849163939320667,0.07440567096463759,-3.886043755865265,-0.18621039522420077,0.25444583166760804,0.2121675762488823,0.3939684171389633,-0.17351986434341443,0.4751793152267649,0.07348598045831899,713.9330964149271,0.19892500731064292,0.8563725108873111,1.9138266159881152,0.0590280091894604,0.8685884132704097,0.5319527494861449,0.8685884132704097,-0.2678366118672699,-0.08003076092135013,-0.3242984697042053,-0.9405095606719327,-0.5711686006960528,-0.49717655611169653,-0.43077429595405653,-0.2726400270615184,-51.92936112424103,11.140584324447257,7.032745083938959,1.5169494835595545,-0.1254864829749941,-0.13266347942441395,-0.07546785849594394,-0.18621039522420077,-4.137610300172038,-0.5711686006960528,-0.7858485747507779,0.18621039522420077,0.1254864829749941,0.2396567084126862,0.2423167112394113,0.1983323157302617,0.1485658609745507,-27.637088829256022,2.398611785135345,-0.1993058925676724,2.497832794615682,-7.7898201567858365,366.7340149593273,1.497832794615682,7.7898201567858365,0.667631262711525,-39.08474584684383
2026-01-15,1729890,342234,7.54,3.54,0-10,non-HCS,-16.47183359406015,15.642067643591126,2026-01-01,2026-02-01,0.10202809449514393,0.15044662141684526,0.22419817428314615,0.33818420909215047,0.25693515511109427,0.28281404742166333,0.30339662772557374,0.34606411646918644,0.5149698176208374,0.4255555388980865,0.3518687193603706,0.07866233676083634,-17.228493749726496,-24.115907042349495,40.0,2.75484315202866,0.18024606193038661,0.3103977679180524,0.21404215887624053,0.673587924569997,0.0017161303631108482,0.1485614905813123,-0.02533302594459956,0.38421150683378535,0.536459596137064,0.013109614615901655,0.1492860317441297,0.03770281186290727,-3.2330992093216193,-0.20721417586200985,0.20268422016508586,0.19177574572885023,0.43198023896547116,-0.18109988101155228,0.4703396792533476,0.04794614274395052,714.280868878851,0.16093927656282167,0.8395915763675157,2.2767865621974703,0.024988273272282462,0.8382626200452253,-0.07346521552734608,0.8382626200452253,-0.270532042022191,-0.12695437266895793,-0.3723611051192681,-0.9079752767567462,-0.5478121290949187,-0.4087436158109069,-0.38421150683378535,-0.24706620217260275,-48.941612906022385,10.774510531606897,7.466841279377426,1.2088511762966583,-0.11439934877797261,-0.16891343057281388,-0.10515291918382094,-0.20721417586200985,-3.765134236319262,-0.5478121290949187,-0.7788457899946953,0.20721417586200985,0.11439934877797261,0.25348540200271646,0.24984499629898727,0.19224581901661064,0.13919828856418887,-29.234906164171395,2.333172722819726,-0.16658636140986305,2.3997687431457746,-6.887413292622998,415.48075374810344,1.3997687431457748,6.887413292622998,0.7144037219695639,-41.34440079207599
2026-01-15,1754649,397821,14.74,6.93,0-10,non-HCS,-15.954360785524436,15.86874073323621,2026-01-01,2026-02-01,0.09516075753180933,0.1514251640027105,0.22663129056395623,0.3352463886000483,0.26182298015539535,0.2861862534875856,0.30733625273431503,0.33992523561421323,0.49008370328349493,0.39873843338479104,0.36025982221315417,0.06949551716816418,-17.435593832122272,-21.13286325066493,45.0,2.7845477386607285,0.16880197887326154,0.3042381239606356,0.20109318743885096,0.6361526365027442,0.0017421280985083847,0.13704832483597643,-0.01894172009034456,0.37771105299713337,0.557810513198792,0.015148199489322932,0.1421328815918247,0.029958677876234664,-3.0965674084836774,-0.1876065300491851,0.1933073728746373,0.22817363668113816,0.4593880084385322,-0.183999496233947,0.4789159920007189,0.04445777887761379,712.4139340727362,0.15342882730372853,0.8405225916627621,2.4467212775849716,0.029050723466616673,0.8326508108893171,0.16648683719809587,0.8326508108893171,-0.26584401017587445,-0.13134534176395593,-0.3419150624649745,-0.8639560786329271,-0.5279093657947738,-0.21387174974972312,-0.37771105299713337,-0.20727134589290722,-45.53744570392546,10.893713954035176,8.273867180453957,1.1845640416696592,-0.08650321216867642,-0.19058391454114781,-0.11260394136590432,-0.1876065300491851,-3.494966504036563,-0.5279093657947738,-0.780624450209344,0.1876065300491851,0.08650321216867642,0.24958793639948215,0.24945371195561628,0.18466267195454372,0.12542222672500566,-27.27201754314116,2.191725036373971,-0.09586251818698546,2.2120529678622725,-3.697269418542657,368.46402014837685,1.2120529678622722,3.697269418542657,0.825046451364023,-38.568457082787205
