inventory_date,latitude_proj,longitude_proj,cagb,cagb_category,HCS,longitude,latitude,start_date,end_date,B2,B3,B4,B8,B5,B6,B7,B8A,B11,B12,B9,B1,VV,VH,elevation,ARI,ARVI,AVI,BCC,CCCI,CVI,EVI,ExG,GNDVI,IKAW,MCARI,MSAVI,MTVI2,NDDI,NDMI,NDVI,NDYI,PSRI,PVI,RCC,RENDVI,S2REP,SAVI,SI,SIPI,TCARI,TNDVI,TTVI,TVI,VARI,VARI700,AWEInsh,AWEIsh,MNDWI,MuWIR,NDWI,S2WI,WI2015,BAI,BAIM,MIRBI,NBR,NBRplus,NBRSWIR,NDSWIR,NBSIMS,NDSI,NBAI,NDBI,UI,BI,BI2,BSI,SATVI,DPDD,DpRVIVV,NDPolI,VDDPI,VHVVD,VHVVP,VHVVR,VVVHD,VVVHR,VVVHS,agb
2026-01-20,1606760,365223,0.0,0-5,non-HCS,-16.250876895476264,14.530432798355772,2026-01-01,2026-02-01,0.0968205439349088,0.1452539259060856,0.2268946802548337,0.3656174241403228,0.2613858802412157,0.3020579554386552,0.3237777344680235,0.3766906772544082,0.5099662542671118,0.4195382936597308,0.3733695580604229,0.0676064560147479,-16.619667006307864,-25.141175196464804,27.0,3.058734147697671,0.2123391237410784,0.3397330037068316,0.2064539723244583,0.7100335948307489,0.0017502776888098,0.1733313737378401,-0.0332073723775712,0.4313483193258321,0.5812604041234019,0.0129772194046378,0.1787054667510593,0.0337045281622229,-3.374243866744725,-0.1648601198109808,0.2341264302559674,0.2000763732044525,0.4306264211152073,-0.1939128700516026,0.483815790886182,0.0721847904296675,717.0048324762683,0.1904638996594316,0.8419441342978405,2.148248800294585,0.0389316582139135,0.8568117822812472,-0.2471173297031679,0.8568117822812472,-0.2965217337044672,-0.1313891442859283,-0.3965233619149257,-0.9583047323259616,-0.5566256037239574,-0.4770408474407706,-0.4313483193258321,-0.2322614168806429,-51.089414610978366,9.132063997943924,6.76537709035368,1.1977136447796122,-0.0686753828533404,-0.1918772929142745,-0.1072632081419693,-0.1648601198109808,-3.799240579802688,-0.5566256037239574,-0.7865161639149127,0.1648601198109808,0.0686753828533404,0.2288194926656141,0.2622060257088425,0.1659300454831704,0.1335251954581223,-29.529374709641907,2.4081099777049597,-0.2040549888524797,2.512736397601869,-8.52150819015694,417.8379599124917,1.5127363976018695,8.52150819015694,0.6610537047864341,-41.760842202772665,0.0
2024-05-01,1403135,474632,6.88,5-10,non-HCS,-15.23364791831133,12.692434719955292,2024-05-01,2024-06-01,0.0720737432184789,0.1017001494737727,0.1348729303834089,0.2577044399862988,0.1712403829986527,0.2192908307460285,0.246062135709637,0.2790761023054461,0.3408536282560882,0.2680200530028731,0.2754999995231628,0.0533999986946582,-10.928504150921963,-17.47193380764391,34.0,3.9930832346086778,0.2987506265847411,0.301418934673937,0.233515260258522,0.6442429146252902,0.000359492535433,0.2011798987275017,-0.0035463746543422,0.4340631563633872,0.5628956256713666,0.0285154126855804,0.184596248482137,0.0749631194816223,-6.16404034333526,-0.1389158256841306,0.3128848448070604,0.1704882465156106,0.2863739762911512,-0.2708325075393114,0.4369814308775394,0.1230386869378126,719.0050776470072,0.2064216173529239,0.896750369158909,1.6632901602540735,0.0855462380567412,0.9016012670837704,0.3878232216980519,0.9016012670837704,-0.2016590558203587,-0.0300221394563841,-0.2839848793679353,-0.6385179987113879,-0.5403941640925207,-0.5454860350390052,-0.4340631563633872,-0.2203241222569023,-32.89140348260351,24.811946003618974,20.93457731034279,1.3398349731190664,-0.0196217090018416,-0.2563984209185485,-0.1309592635578492,-0.1389158256841306,-3.506997264559518,-0.5403941640925207,-0.8519052314798801,0.1389158256841306,0.0196217090018416,0.1811887228628321,0.1778999776483474,0.0997921079953094,0.1826473854274057,-20.08214226916976,2.4607977994049475,-0.2303988997024737,2.598748883319948,-6.543429656721946,190.9421011414703,1.5987488833199484,6.543429656721946,0.6254890999038001,-28.40043795856587,14.64
2026-01-20,1607135,356311,0.0,0-5,non-HCS,-16.33359478771787,14.53336655754959,2026-01-01,2026-02-01,0.1000404509653837,0.1531387310221825,0.2306601210768392,0.3441900275448427,0.2667806294467087,0.2927838030254869,0.3129709372204438,0.3527591252959894,0.525614633735033,0.4540267761902011,0.3598999977111816,0.0722000002861023,-18.36197701482852,-22.343231009733582,27.0,2.7816286014636717,0.17384170230308,0.3109392900545016,0.2067637960202398,0.6415310862837804,0.0018618336990591,0.143501854704115,-0.0244231099978579,0.3841549341991492,0.5496011381259571,0.0154892857227621,0.1473421318960466,0.0197954072923837,-3.11608943526127,-0.2085808621940847,0.1974947849282357,0.209726090589101,0.4461301095268752,-0.2155185851930401,0.4767287808492385,0.0464703831583689,711.7769224027127,0.1584359084104702,0.8369853087054756,2.3957566399950867,0.0464678571682864,0.8351615322368696,-0.0277735416309989,0.8351615322368696,-0.2731950481288039,-0.1266949359214666,-0.3273774832145595,-0.935326407446524,-0.5487647237610115,-0.3717644268023077,-0.3841549341991492,-0.2597727843515156,-51.38275818769603,10.221182401337932,6.61912478838168,1.3892443512986876,-0.1376026514743945,-0.14331748607747,-0.0848317383001957,-0.2085808621940847,-3.881612415376886,-0.5487647237610115,-0.766345229757626,0.2085808621940847,0.1376026514743945,0.2599274602395037,0.2550309376367151,0.2129973582798813,0.1251641648587075,-28.782928623776936,2.1956139859303856,-0.0978069929651929,2.216820552149147,-3.981253994905064,410.265894237732,1.2168205521491469,3.981253994905064,0.8218138642002728,-40.70520802456211,0.0
2026-01-15,1791718,389640,2.19,0-5,non-HCS,-16.032486930068455,16.203453696622955,2026-01-01,2026-02-01,0.0686018410146931,0.1069388668957022,0.1480547751682883,0.2625491986806034,0.1878466138795409,0.226549784823948,0.241368153417597,0.2751774048709661,0.373713558729814,0.2965230714562336,0.3005435923793225,0.0716025882805141,-15.107139080596642,-18.002077558346848,3.0,4.027644760744203,0.2608217787377541,0.2947602401152182,0.2119987595686318,0.5948125162498179,0.0004445332722501,0.1749219925518078,-0.002778882391577,0.4211511718035855,0.585676426818312,0.0299558923067563,0.1688384666032725,0.0579041327523892,-4.918899845123421,-0.1747145479670196,0.2788439245706147,0.2183939345885412,0.350708495332883,-0.2699798455431516,0.4575304134646655,0.0933964944326174,711.2080123826078,0.1886018952262687,0.8915439262804027,1.6677372097476089,0.0898676769202691,0.8825213451076493,-0.1193457939078247,0.8825213451076493,-0.2205886098053833,-0.0543568856933719,-0.3172976205019556,-0.6925758957257359,-0.5550262052395426,-0.3534877085013284,-0.4211511718035855,-0.2243667613123972,-35.797581559206506,23.075801609315324,18.350689506787084,1.3028378390101576,-0.0607683024008949,-0.2063524395840842,-0.1261826346146436,-0.1747145479670196,-3.60173123187653,-0.5550262052395426,-0.8435717263977343,0.1747145479670196,0.0607683024008949,0.2234880577278061,0.1846512202603385,0.1462196508722786,0.1830152949512384,-23.411751605171418,2.174872061113348,-0.087436030556674,2.191627181182731,-2.8949384777502054,271.95988941363345,1.1916271811827308,2.8949384777502054,0.8391886454012116,-33.109216638943494,4.67
2024-05-01,1408415,450100,10.74,10-15,non-HCS,-15.459678018725311,12.739884880835682,2024-05-01,2024-06-01,0.0661951644431003,0.0944555959698446,0.133302630677891,0.2055012946461872,0.1616786210878816,0.1781435169006286,0.1956901630568212,0.2203190254034399,0.3206051116896894,0.2740838480419739,0.2184000015258789,0.0469500012695789,-9.987964648048766,-18.124121350034972,34.0,4.401875582943993,0.192957272377902,0.2342809989893355,0.2251893206520112,0.5600660199652674,0.0002444042015041,0.1196250520119654,-0.0105866031813021,0.3702055266951334,0.512727072962356,0.0181098136467802,0.1110816206692453,0.0260173370033378,-3.7127862043099737,-0.2187842908911809,0.213098664365342,0.1759122176210199,0.3767045099498309,-0.3203828300172043,0.4534822006414565,0.0484515102818394,710.9898436894606,0.1291100252190671,0.9015942140970884,2.1960419301696663,0.0543294409403408,0.8444516945126832,0.1898919519515971,0.8444516945126832,-0.2404450260966387,-0.0747202352036283,-0.202242804425498,-0.5553464171465967,-0.5448588882216014,-0.4667148378765209,-0.3702055266951334,-0.2579506839552902,-30.000059059372173,44.883923982177535,33.70513560848534,1.5989083858607829,-0.1430039158664699,-0.1631712767469705,-0.0957569034541885,-0.2187842908911809,-3.7671605653588687,-0.5448588882216014,-0.8505673211857875,0.2187842908911809,0.1430039158664699,0.251116632059805,0.1515720214473676,0.199813619332476,0.1574873150649397,-19.878246642544404,2.578836924626711,-0.2894184623133554,2.8145960652329376,-8.136156701986206,181.0230833210952,1.8145960652329376,8.136156701986206,0.5510868336814294,-28.11208599808374,22.85
2026-01-15,1791112,389450,0.0,0-5,non-HCS,-16.034235737297834,16.19796756296518,2026-01-01,2026-02-01,0.1450006816255274,0.2326204242095119,0.3331955282491191,0.4154974644203989,0.365985960920185,0.3816340046314726,0.3907464004095959,0.4053449449145283,0.5638151921165311,0.5310213695696333,0.3937293428189378,0.1000038447700562,-23.043281580803523,-26.14459516895107,3.0,1.5665034198772667,0.0808151256266797,0.2835691477136529,0.2039916831889443,0.5763417215272634,0.0074914041767109,0.0884143557935679,-0.0129553614556225,0.2821663210029273,0.4826006735314114,0.0067193434453789,0.0948076722226283,-0.0147819537317481,-2.276454069935121,-0.1514508433094462,0.1099274829297205,0.2320308405173213,0.4931291350866997,-0.1766817802685233,0.4687503250095154,0.0209304786285919,696.0196518317753,0.0988656979591084,0.7591451749873115,3.8333681360030702,0.0201580303361369,0.7809785419137459,0.0597395200470111,0.7809785419137459,-0.2390006043281053,-0.162036682209712,0.0316553285833154,-0.8751725850484962,-0.4158462543837759,-0.0018837537030457,-0.2821663210029273,-0.1839844592566812,-49.66094426954188,5.532240187312316,4.11245857481798,1.7848248129543285,-0.1220513538671444,-0.1917405580022452,-0.0441849741126055,-0.1514508433094462,-3.116658854142659,-0.4158462543837759,-0.6405676165989216,0.1514508433094462,0.1220513538671444,0.2308820083875209,0.3355441673582399,0.213178595313319,-0.0178894670245297,-34.78108120191959,2.126100730223653,-0.0630503651118265,2.1345864553740963,-3.1013135881475513,602.4572682942551,1.1345864553740963,3.1013135881475513,0.8813784046719291,-49.187876749754594,0.0
2026-01-15,1792735,389055,0.0,0-5,non-HCS,-16.038007438052972,16.212619437086758,2026-01-01,2026-02-01,0.1333772918326643,0.2128945799082676,0.2845777493193351,0.3677575429499014,0.3175265109837282,0.3371770755981658,0.3511484614866443,0.3587926705060718,0.4546733573361542,0.3860990635209051,0.361159651601649,0.1030428537405558,-14.834136320369714,-26.36023678363841,3.0,1.5478171147235158,0.1012634654924259,0.2797138410000877,0.211424858444866,0.5748499672022422,0.0047434217339711,0.1002217216815381,0.0078341186645357,0.2667052387225335,0.4676989800937123,0.0134143408586358,0.1018309367497267,0.0033441825588851,-2.832124863471932,-0.1056816011606835,0.1275107979229731,0.2296383118727449,0.4484304195901665,-0.208438115930954,0.4511023543789186,0.0300144447306758,705.5995148182916,0.1082755091186582,0.7873028138654635,3.1824398409191312,0.0402430225759075,0.7921557914469686,0.4084763275099308,0.7921557914469686,-0.1968803802544331,-0.1417883424146559,0.0027179292334673,-0.6645573747059763,-0.3621785348557899,0.1690030355422453,-0.2667052387225335,-0.0974560263609709,-34.637256184332536,7.764960799713395,7.374483477211772,1.4051917333147397,-0.0243302511559458,-0.2923168231052079,-0.0941506063013161,-0.1056816011606835,-2.5832543925638074,-0.3621785348557899,-0.6937875866078442,0.1056816011606835,0.0243302511559458,0.1919695023283325,0.2952706148369236,0.1446836429742063,0.0128356279581567,-29.128820568572863,2.5595958668513994,-0.2797979334256996,2.776998418670419,-11.526100463268696,391.03134588571623,1.776998418670419,11.526100463268696,0.5627467022442357,-41.19437310400812,0.0
2026-01-17,1718489,332424,0.08,0-5,non-HCS,-16.562549922071067,15.538399296479373,2026-01-01,2026-02-01,0.0990540463572168,0.1600273044569792,0.2636937676354864,0.3673693854298106,0.309847878868753,0.3313787336522439,0.3512039871166925,0.3818297228046213,0.5424791557273623,0.480920089703751,0.4036000072956085,0.0816999971866607,-16.294150117234697,-22.643106172981415,40.0,3.021543426651259,0.1358815214775811,0.3038174330544145,0.1894773543373045,0.5170093797455493,0.0024807957374279,0.1174594013182184,-0.0426932050787447,0.3931425527477979,0.5752612771716595,0.0190237185854057,0.1291428516393765,-0.005407357645584,-2.435730042689393,-0.1924603517799146,0.1642872306689672,0.2353440643571844,0.4968324897126503,-0.202808935427443,0.5044114731731769,0.0335776063610989,701.1002452950635,0.1374931419788798,0.8228881245125119,2.7554153456782102,0.0570711557562173,0.815038177430338,0.1543820747519186,0.815038177430338,-0.3193008681548165,-0.13188851917538,-0.2991195047536694,-0.985880526662032,-0.5444104402542085,-0.3018061225181769,-0.3931425527477979,-0.2163367986993933,-54.39659499173445,8.24595448143656,5.566706794752765,1.492905170909359,-0.1338584381894659,-0.142615920421764,-0.072600249960389,-0.1924603517799146,-3.881906457928894,-0.5444104402542085,-0.751516183750683,0.1924603517799146,0.1338584381894659,0.2669734910059587,0.2769496985691574,0.2297125183923261,0.0796951770625247,-27.532797963610363,2.3261121435175207,-0.1630560717587602,2.3896463460853528,-6.348956055746719,368.9501711030428,1.3896463460853523,6.348956055746719,0.719607548220459,-38.93725629021611,0.18
2026-01-17,1729624,341691,0.09,0-5,non-HCS,-16.476880906706533,15.6396295614475,2026-01-01,2026-02-01,0.1185523367815034,0.1816703918450507,0.2761250436589185,0.3934269841068012,0.3070896249880405,0.3407719829199387,0.3598937634300796,0.3916783645120423,0.5332263135176021,0.4655516914023687,0.3953771632757988,0.087469173889113,-16.45917452306805,-24.7491938674253,40.0,2.248095954168102,0.1499893787190938,0.32206556827575,0.2056958358863628,0.7034924758330965,0.0035854052254171,0.1357011288984276,-0.0313365967503204,0.3682099781993774,0.5368862297961162,0.0065401985633321,0.1426887507428617,0.0091080981177465,-2.8153446401942204,-0.1508647622246579,0.1751946608829141,0.2102374305646245,0.462399242822833,-0.1814223833651023,0.4790944928336604,0.0519900508391947,716.3469564764082,0.1504447057459767,0.8052476185194654,2.6082928300203623,0.0196205956899964,0.821702294558628,0.1006240776535807,0.821702294558628,-0.2784276295363667,-0.1549736707855166,-0.2243132813603918,-0.9336395528930668,-0.4917576469935108,-0.280942542382362,-0.3682099781993774,-0.2050913704105601,-50.97483094885593,7.03266607890774,5.306171558460266,1.4298990415511854,-0.0839656552042047,-0.1955582160753069,-0.079792844162019,-0.1508647622246579,-3.4419718445346046,-0.4917576469935108,-0.7262010025751658,0.1508647622246579,0.0839656552042047,0.2250549701333935,0.2966670203174749,0.1832220353284987,0.061760760286412,-29.13871673055122,2.402346400410735,-0.2011732002053674,2.503671635095583,-8.290019344357251,407.35130116919856,1.5036716350955832,8.290019344357251,0.6650388134351111,-41.20836839049335,0.19
2026-01-16,1753977,399444,0.0,0-5,non-HCS,-15.93917517615263,15.86273261561106,2026-01-01,2026-02-01,0.0894000368156055,0.1584401759431255,0.2834246156477336,0.3883920394869247,0.3215538061409643,0.3468519756509231,0.3649401345485488,0.3825124831226639,0.561314039438462,0.5319299928196335,0.4016200934473486,0.068862273391143,-18.86581786348322,-23.90643729935801,45.0,3.2016310468811677,0.1243807742983825,0.3079845386001498,0.168277725223712,0.602553991449188,0.002763366690777,0.1085073925711132,-0.055944300577088,0.4205163065657278,0.6257784871300422,0.0062472506116262,0.1272707822976675,-0.018329748372477,-2.1824488498859007,-0.1820794915277391,0.156244152384331,0.2785671395252132,0.5593872673436842,-0.1883425022431782,0.533490267928839,0.0378485198648918,708.6366233321733,0.1343649922271273,0.8188886202573774,3.0440850542859628,0.0187417518348788,0.8100889780661943,0.3638090204591762,0.8100889780661943,-0.3546012417165041,-0.1702517241343552,-0.245785983599085,-1.072041139919569,-0.5597381090456656,-0.2490246584897214,-0.4205163065657278,-0.2464911307453904,-60.54966009579182,7.067841035699273,4.450641863914232,1.8184223416994063,-0.1559649212927855,-0.0846805205124058,-0.0413863763687752,-0.1820794915277391,-4.183965001524333,-0.5597381090456656,-0.7389096045216718,0.1820794915277391,0.1559649212927855,0.2774578843989148,0.292279078077082,0.2610396300284393,0.0440090897142817,-30.244551672286352,2.2356957526174055,-0.1178478763087028,2.2671826619100064,-5.040619435874792,451.0144918544699,1.2671826619100062,5.040619435874792,0.7891522114836345,-42.77225516284123,0.0
